Track,Album Name,Artist,ISRC,image_url
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,USSM12002399,https://i.scdn.co/image/ab67616d0000b2730f619e50cfa37c94e3f8300e
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,GBBKS2300080,https://i.scdn.co/image/ab67616d0000b27388d71aadd009fe1a83df88f2
Training Season,Training Season,Dua Lipa,GBAHT2301078,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1
Type Shit,WE DON'T TRUST YOU,Future,USSM12402033,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
Armageddon,Armageddon - The 1st Album,aespa,KRA302400093,https://i.scdn.co/image/ab67616d0000b273090cfa22962b115ac530674c
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,USAT21906978,https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,USSM12104539,https://i.scdn.co/image/ab67616d0000b273ba26678947112dff3c3158bf
Pedro,Pedro - Single,Jaxomy,DEE862400427,https://i.scdn.co/image/ab67616d0000b273df8680015ddf76e5c444849f
Fast Car,Gettin' Old,Luke Combs,US6XF2200436,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,JPU902305042,https://i.scdn.co/image/ab67616d0000b2733f6de9c0ca2148edf20daa6b
Aesthetic,Aesthetic,Tollan Kim,SGB502208576,https://i.scdn.co/image/ab67616d0000b27363eaf3bbaef95ad10079ee75
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,USUM71814888,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
Hands,Hands,Dianï¿½,GBKPL2205333,
Saturn,Saturn - Single,SZA,USRC12400216,https://i.scdn.co/image/ab67616d0000b273d70916ee9e40c90380ba5f07
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,BXT622400190,https://i.scdn.co/image/ab67616d0000b273401bbd8dac2f6b1fe44a3b07
Believer,Believer,Imagine Dragons,USUM71700626,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,USSM12203789,https://i.scdn.co/image/ab67616d0000b27386badd635b69aea887862214
I KNOW ?,UTOPIA,Travis Scott,USSM12305012,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
ANDO,ANDO,Jere Klein,QMDA72363047,https://i.scdn.co/image/ab67616d0000b273b202099659d26bd5b144d02d
First Class,First Class,Jack Harlow,USAT22203024,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb
FE!N,UTOPIA,Travis Scott,USSM12305010,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,USUG12301493,https://i.scdn.co/image/ab67616d0000b273308f9319a3d6f6737f43b3fc
Losing Interest - Original Mix,Losing Interest (Original),Goovex,CA5KR2465999,https://i.scdn.co/image/ab67616d0000b273eb816bbea0ad5451cbea0403
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,USUM72206227,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,USUG12305253,
Drained of Color,Drained of Color,Exhumed,US2642250302,https://i.scdn.co/image/ab67616d0000b27359630522294508135c7616ea
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,USQX92003025,https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5
Dynamite,Dynamite,BTS,QM7282022872,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,GXBAV2381801,https://i.scdn.co/image/ab67616d0000b2731f4f86a5f7b69bb926830758
Someone You Loved,Breach,Lewis Capaldi,DEUM71807062,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,USQX92302824,
Made You Look,Takin' It Back,Meghan Trainor,USSM12204574,https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,QZMEQ2306756,https://i.scdn.co/image/ab67616d0000b2731cd0fe24bb5d50e97848c6e8
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,INS182401602,https://i.scdn.co/image/ab67616d0000b273bde2708d57b1fbb64ca2a233
vampire,vampire,Olivia Rodrigo,USUG12304091,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,BCAEW2400001,
Back,Back,LOLA,UKQNV2100272,https://i.scdn.co/image/ab67616d0000b273bf0517b44dee8b37deb5d810
People,People - Single,Libianca,QZTB52268087,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,ATR981312465,https://i.scdn.co/image/ab67616d0000b27395041347b7dc8f3e0695fcff
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,TCAIA2495220,
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,UKWLG2400013,https://i.scdn.co/image/ab67616d0000b2732f479a6c1825c1f29e0a3d49
Abc,Abc,J Ross,CLLU22300585,https://i.scdn.co/image/ab67616d0000b27355628675a850ef935da33e18
La Bachata,La Bachata,Manuel Turizo,QZDYA1800087,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,FRX282306294,
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,USUM72102636,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
Don't Start Now,Don't Start Now,Dua Lipa,GBAHT1901121,https://i.scdn.co/image/ab67616d0000b273c35ea649223a519a9ad51ccf
Lucid Dreams,Lucid Dreams,Juice WRLD,USUG11800685,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4
PROVENZA,PROVENZA,KAROL G,USUM72205906,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,USAT22005111,https://i.scdn.co/image/ab67616d0000b273c450c89d3eb750d3535b0a0c
SPOT!,SPOT!,ZICO,USA2P2421932,https://i.scdn.co/image/ab67616d0000b2731b8ae147aceb9fc130391287
Family Matters,Family Matters,Drake,USUG12402984,https://i.scdn.co/image/ab67616d0000b273a0ac23f4b446a7264e67bf0e
Again,Missing,Kurochuu,CA5KR2466577,https://i.scdn.co/image/ab67616d0000b27342dafd8cccc5f51e0ad54578
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,USA2P2330093,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316
Last Night,3 Songs At A Time Sampler,Morgan Wallen,USUG12300802,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Too Sweet,Unreal Unearth: Unheard,Hozier,IEACJ2300335,https://i.scdn.co/image/ab67616d0000b2732e8b4358d044b75807e30bf0
Bad Habits,#NAME?,Ed Sheeran,GBAHS2100318,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,USUG12305257,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03
Leave The Door Open,Leave The Door Open,Bruno Mars,USAT22100906,https://i.scdn.co/image/ab67616d0000b273fcf75ead8a32ac0020d2ce86
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),JPKI02118106,
good 4 u,good 4 u,Olivia Rodrigo,USUG12101245,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,USUM71900764,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,USUM71911283,
DESPECHï¿,DESPECHï¿,ROSALï¿½,USSM12207207,
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,USUM72007941,https://i.scdn.co/image/ab67616d0000b27320e08c8cc23f404d723b5647
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,GBAHS2201304,https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,USWB12304903,https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef
Circles,Circles,Post Malone,USUM71915699,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,DGA062382895,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae
About Damn Time,About Damn Time,Lizzo,USAT22202139,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04
Closer,Closer,The Chainsmokers,USQX91601347,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453
FLOWER,ME,JISOO,KRA402300002,https://i.scdn.co/image/ab67616d0000b273f35b8a6c03cc633f734bd8ac
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,QMFME2364199,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,USUG12306085,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1
Havana (feat. Young Thug),Havana,Camila Cabello,USSM11706905,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4
LUNA,FERXXOCALIPSIS,Feid,USUM72318216,https://i.scdn.co/image/ab67616d0000b273f1aad814a40ec7419c234242
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,USUM72208023,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97
Bones,Bones,Imagine Dragons,USUM72201759,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,USSD12300400,
Selfish,Selfish,Justin Timberlake,USRC12400001,https://i.scdn.co/image/ab67616d0000b273da6090501a3b5467e6f715e6
golden hour,golden hour,JVKE,GBKPL2204171,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,GBAHT2000942,https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4
Get It Sexyy,Get It Sexyy,Sexyy Red,QZSYP2454435,https://i.scdn.co/image/ab67616d0000b273422237a4122460c2fa99c135
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,USWD12328242,https://i.scdn.co/image/ab67616d0000b273a40e82a624fd71db16151256
IDGAF (feat. Yeat),For All The Dogs,Drake,USUG12306072,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,QM6MZ2214888,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,USSM11914962,https://i.scdn.co/image/ab67616d0000b2738a01c7b77a34378a62f46402
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,QMDA62217995,https://i.scdn.co/image/ab67616d0000b27394e5237ce925531dbb38e75f
Stargazing,Stargazing,Myles Smith,GBARL2400510,https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a
